1F600                                      ; fully-qualified     #  冰激凌
1F600                                      ; fully-qualified     #  蛋糕
1F600                                      ; fully-qualified     #  苹果
1F600                                      ; fully-qualified     #  飞机
1F600                                      ; fully-qualified     #  火箭
1F600                                      ; fully-qualified     #  自行车
1F600                                      ; fully-qualified     #  高铁
1F600                                      ; fully-qualified     #  警告
1F600                                      ; fully-qualified     #  旗
1F600                                      ; fully-qualified     #  男人
1F600                                      ; fully-qualified     #  女人
1F600                                      ; fully-qualified     #  O
1F600                                      ; fully-qualified     #  X
1F600                                      ; fully-qualified     #  版权
1F600                                      ; fully-qualified     #  注册商标
1F600                                      ; fully-qualified     #  商标
